:),1915687
:(,438339
:-),308345
;),259724
);,178795
):,160970
:D,113440
(8,86546
<3,78492
;-),74247
:/,67615
=),66156
:-(,64391
8:,53073
8),46124
(:,40062
:P,31573
;D,15718
:o),12952
=(,11917
:p,10960
:-/,10921
:-D,10129
;(,8660
=D,8612
